,encoder,data,enhance_type,enhance_llm,metrics,stat,p
65,CodeBERT,EBT,code(example),Gemini,accuracy,2.0,0.5
66,CodeBERT,EBT,code(example),Gemini,precision,3.5,0.375
67,CodeBERT,EBT,code(example),Gemini,recall,1.5,0.75
68,CodeBERT,EBT,code(example),Gemini,f1,3.5,0.375
69,CodeBERT,EBT,code(example),Gemini,f2,4.5,0.5
70,CodeBERT,EBT,code(example),GPT3.5,accuracy,10.0,1.0
71,CodeBERT,EBT,code(example),GPT3.5,precision,15.0,1.0
72,CodeBERT,EBT,code(example),GPT3.5,recall,2.0,0.5
73,CodeBERT,EBT,code(example),GPT3.5,f1,11.0,0.84375
74,CodeBERT,EBT,code(example),GPT3.5,f2,8.0,0.5625
75,CodeBERT,EBT,code(example),GPT-4o,accuracy,7.5,0.9375
76,CodeBERT,EBT,code(example),GPT-4o,precision,11.5,0.875
77,CodeBERT,EBT,code(example),GPT-4o,recall,0.0,0.25
78,CodeBERT,EBT,code(example),GPT-4o,f1,4.0,0.5
79,CodeBERT,EBT,code(example),GPT-4o,f2,4.5,0.25
80,CodeBERT,iTrust,req,Claude3,accuracy,0.0,0.03125
81,CodeBERT,iTrust,req,Claude3,precision,1.0,0.0625
82,CodeBERT,iTrust,req,Claude3,recall,0.0,0.03125
83,CodeBERT,iTrust,req,Claude3,f1,0.0,0.03125
84,CodeBERT,iTrust,req,Claude3,f2,0.0,0.03125
85,CodeBERT,iTrust,req,Gemini,accuracy,0.0,0.03125
86,CodeBERT,iTrust,req,Gemini,precision,1.0,0.0625
87,CodeBERT,iTrust,req,Gemini,recall,0.0,0.03125
88,CodeBERT,iTrust,req,Gemini,f1,0.0,0.03125
89,CodeBERT,iTrust,req,Gemini,f2,0.0,0.03125
90,CodeBERT,iTrust,req,GPT3.5,accuracy,0.0,0.03125
91,CodeBERT,iTrust,req,GPT3.5,precision,2.0,0.09375
92,CodeBERT,iTrust,req,GPT3.5,recall,0.0,0.0625
93,CodeBERT,iTrust,req,GPT3.5,f1,0.0,0.03125
94,CodeBERT,iTrust,req,GPT3.5,f2,0.0,0.03125
95,CodeBERT,iTrust,req,GPT-4o,accuracy,0.0,0.03125
96,CodeBERT,iTrust,req,GPT-4o,precision,2.0,0.09375
97,CodeBERT,iTrust,req,GPT-4o,recall,0.0,0.03125
98,CodeBERT,iTrust,req,GPT-4o,f1,0.0,0.03125
99,CodeBERT,iTrust,req,GPT-4o,f2,0.0,0.03125
100,CodeBERT,iTrust,code,Claude3,accuracy,0.0,0.03125
101,CodeBERT,iTrust,code,Claude3,precision,0.0,0.03125
102,CodeBERT,iTrust,code,Claude3,recall,1.0,0.0625
103,CodeBERT,iTrust,code,Claude3,f1,0.0,0.03125
104,CodeBERT,iTrust,code,Claude3,f2,0.0,0.03125
105,CodeBERT,iTrust,code,Gemini,accuracy,0.0,0.03125
106,CodeBERT,iTrust,code,Gemini,precision,0.0,0.03125
107,CodeBERT,iTrust,code,Gemini,recall,0.0,0.03125
108,CodeBERT,iTrust,code,Gemini,f1,0.0,0.03125
109,CodeBERT,iTrust,code,Gemini,f2,0.0,0.03125
110,CodeBERT,iTrust,code,GPT3.5,accuracy,0.0,0.03125
111,CodeBERT,iTrust,code,GPT3.5,precision,0.0,0.03125
112,CodeBERT,iTrust,code,GPT3.5,recall,1.0,0.0625
113,CodeBERT,iTrust,code,GPT3.5,f1,0.0,0.03125
114,CodeBERT,iTrust,code,GPT3.5,f2,0.0,0.03125
115,CodeBERT,iTrust,code,GPT-4o,accuracy,0.0,0.03125
116,CodeBERT,iTrust,code,GPT-4o,precision,1.0,0.0625
117,CodeBERT,iTrust,code,GPT-4o,recall,0.0,0.03125
118,CodeBERT,iTrust,code,GPT-4o,f1,0.0,0.03125
119,CodeBERT,iTrust,code,GPT-4o,f2,0.0,0.03125
120,CodeBERT,iTrust,req(example),Claude3,accuracy,1.0,0.0625
121,CodeBERT,iTrust,req(example),Claude3,precision,4.0,0.21875
122,CodeBERT,iTrust,req(example),Claude3,recall,2.0,0.09375
123,CodeBERT,iTrust,req(example),Claude3,f1,0.0,0.03125
124,CodeBERT,iTrust,req(example),Claude3,f2,1.0,0.0625
125,CodeBERT,iTrust,req(example),Gemini,accuracy,0.0,0.03125
126,CodeBERT,iTrust,req(example),Gemini,precision,1.0,0.0625
127,CodeBERT,iTrust,req(example),Gemini,recall,3.5,0.1875
128,CodeBERT,iTrust,req(example),Gemini,f1,0.0,0.0625
129,CodeBERT,iTrust,req(example),Gemini,f2,2.0,0.09375
130,CodeBERT,iTrust,req(example),GPT3.5,accuracy,0.0,0.03125
131,CodeBERT,iTrust,req(example),GPT3.5,precision,0.0,0.03125
132,CodeBERT,iTrust,req(example),GPT3.5,recall,0.0,0.03125
133,CodeBERT,iTrust,req(example),GPT3.5,f1,0.0,0.03125
134,CodeBERT,iTrust,req(example),GPT3.5,f2,0.0,0.03125
135,CodeBERT,iTrust,req(example),GPT-4o,accuracy,0.0,0.03125
136,CodeBERT,iTrust,req(example),GPT-4o,precision,1.0,0.0625
137,CodeBERT,iTrust,req(example),GPT-4o,recall,0.0,0.03125
138,CodeBERT,iTrust,req(example),GPT-4o,f1,0.0,0.03125
139,CodeBERT,iTrust,req(example),GPT-4o,f2,0.0,0.03125
140,CodeBERT,iTrust,code(example),Claude3,accuracy,0.0,0.03125
141,CodeBERT,iTrust,code(example),Claude3,precision,1.0,0.0625
142,CodeBERT,iTrust,code(example),Claude3,recall,0.0,0.03125
143,CodeBERT,iTrust,code(example),Claude3,f1,0.0,0.03125
144,CodeBERT,iTrust,code(example),Claude3,f2,0.0,0.03125
145,CodeBERT,iTrust,code(example),Gemini,accuracy,0.0,0.03125
146,CodeBERT,iTrust,code(example),Gemini,precision,0.0,0.03125
147,CodeBERT,iTrust,code(example),Gemini,recall,0.0,0.03125
148,CodeBERT,iTrust,code(example),Gemini,f1,0.0,0.03125
149,CodeBERT,iTrust,code(example),Gemini,f2,0.0,0.03125
150,CodeBERT,iTrust,code(example),GPT3.5,accuracy,0.0,0.03125
151,CodeBERT,iTrust,code(example),GPT3.5,precision,0.0,0.03125
152,CodeBERT,iTrust,code(example),GPT3.5,recall,0.0,0.03125
153,CodeBERT,iTrust,code(example),GPT3.5,f1,0.0,0.03125
154,CodeBERT,iTrust,code(example),GPT3.5,f2,0.0,0.03125
155,CodeBERT,iTrust,code(example),GPT-4o,accuracy,0.0,0.03125
156,CodeBERT,iTrust,code(example),GPT-4o,precision,1.0,0.0625
157,CodeBERT,iTrust,code(example),GPT-4o,recall,0.0,0.03125
158,CodeBERT,iTrust,code(example),GPT-4o,f1,0.0,0.03125
159,CodeBERT,iTrust,code(example),GPT-4o,f2,0.0,0.03125
160,CodeBERT,RETRO,req,Claude3,accuracy,5.0,0.34375
161,CodeBERT,RETRO,req,Claude3,precision,5.0,0.3125
162,CodeBERT,RETRO,req,Claude3,recall,3.0,0.3125
163,CodeBERT,RETRO,req,Claude3,f1,5.0,0.3125
164,CodeBERT,RETRO,req,Claude3,f2,5.0,0.3125
165,CodeBERT,RETRO,req,Gemini,accuracy,9.0,0.71875
166,CodeBERT,RETRO,req,Gemini,precision,10.0,0.78125
167,CodeBERT,RETRO,req,Gemini,recall,8.5,0.625
168,CodeBERT,RETRO,req,Gemini,f1,9.0,0.6875
169,CodeBERT,RETRO,req,Gemini,f2,9.0,0.6875
170,CodeBERT,RETRO,req,GPT3.5,accuracy,4.0,0.21875
171,CodeBERT,RETRO,req,GPT3.5,precision,5.0,0.3125
172,CodeBERT,RETRO,req,GPT3.5,recall,4.0,0.21875
173,CodeBERT,RETRO,req,GPT3.5,f1,4.0,0.21875
174,CodeBERT,RETRO,req,GPT3.5,f2,4.0,0.21875
175,CodeBERT,RETRO,req,GPT-4o,accuracy,3.0,0.3125
176,CodeBERT,RETRO,req,GPT-4o,precision,7.0,0.5
177,CodeBERT,RETRO,req,GPT-4o,recall,2.0,0.125
178,CodeBERT,RETRO,req,GPT-4o,f1,3.0,0.15625
179,CodeBERT,RETRO,req,GPT-4o,f2,3.0,0.15625
180,CodeBERT,RETRO,code,Claude3,accuracy,0.0,0.125
181,CodeBERT,RETRO,code,Claude3,precision,0.0,0.125
182,CodeBERT,RETRO,code,Claude3,recall,0.0,0.125
183,CodeBERT,RETRO,code,Claude3,f1,0.0,0.125
184,CodeBERT,RETRO,code,Claude3,f2,0.0,0.125
185,CodeBERT,RETRO,code,Gemini,accuracy,1.0,0.0625
186,CodeBERT,RETRO,code,Gemini,precision,2.0,0.09375
187,CodeBERT,RETRO,code,Gemini,recall,0.0,0.0625
188,CodeBERT,RETRO,code,Gemini,f1,1.0,0.0625
189,CodeBERT,RETRO,code,Gemini,f2,1.0,0.0625
190,CodeBERT,RETRO,code,GPT3.5,accuracy,2.5,0.125
191,CodeBERT,RETRO,code,GPT3.5,precision,3.0,0.15625
192,CodeBERT,RETRO,code,GPT3.5,recall,3.0,0.15625
193,CodeBERT,RETRO,code,GPT3.5,f1,3.0,0.15625
194,CodeBERT,RETRO,code,GPT3.5,f2,3.0,0.15625
195,CodeBERT,RETRO,code,GPT-4o,accuracy,0.0,0.0625
196,CodeBERT,RETRO,code,GPT-4o,precision,2.0,0.09375
197,CodeBERT,RETRO,code,GPT-4o,recall,0.0,0.03125
198,CodeBERT,RETRO,code,GPT-4o,f1,0.0,0.03125
199,CodeBERT,RETRO,code,GPT-4o,f2,0.0,0.03125
200,CodeBERT,RETRO,req(example),Claude3,accuracy,8.5,0.9375
201,CodeBERT,RETRO,req(example),Claude3,precision,14.0,0.96875
202,CodeBERT,RETRO,req(example),Claude3,recall,7.0,0.8125
203,CodeBERT,RETRO,req(example),Claude3,f1,11.0,0.84375
204,CodeBERT,RETRO,req(example),Claude3,f2,10.0,0.78125
205,CodeBERT,RETRO,req(example),Gemini,accuracy,8.5,0.6875
206,CodeBERT,RETRO,req(example),Gemini,precision,12.0,0.90625
207,CodeBERT,RETRO,req(example),Gemini,recall,1.5,0.375
208,CodeBERT,RETRO,req(example),Gemini,f1,7.0,0.5
209,CodeBERT,RETRO,req(example),Gemini,f2,7.0,0.5
210,CodeBERT,RETRO,req(example),GPT3.5,accuracy,8.5,0.9375
211,CodeBERT,RETRO,req(example),GPT3.5,precision,14.0,0.96875
212,CodeBERT,RETRO,req(example),GPT3.5,recall,8.5,0.65625
213,CodeBERT,RETRO,req(example),GPT3.5,f1,7.0,0.8125
214,CodeBERT,RETRO,req(example),GPT3.5,f2,9.0,0.6875
215,CodeBERT,RETRO,req(example),GPT-4o,accuracy,11.0,0.875
216,CodeBERT,RETRO,req(example),GPT-4o,precision,13.0,0.9375
217,CodeBERT,RETRO,req(example),GPT-4o,recall,8.5,0.65625
218,CodeBERT,RETRO,req(example),GPT-4o,f1,10.0,0.78125
219,CodeBERT,RETRO,req(example),GPT-4o,f2,9.0,0.6875
220,CodeBERT,RETRO,code(example),Claude3,accuracy,2.0,0.375
221,CodeBERT,RETRO,code(example),Claude3,precision,5.0,0.3125
222,CodeBERT,RETRO,code(example),Claude3,recall,2.0,0.25
223,CodeBERT,RETRO,code(example),Claude3,f1,7.0,0.5
224,CodeBERT,RETRO,code(example),Claude3,f2,4.0,0.21875
225,CodeBERT,RETRO,code(example),Gemini,accuracy,3.0,0.15625
226,CodeBERT,RETRO,code(example),Gemini,precision,3.0,0.15625
227,CodeBERT,RETRO,code(example),Gemini,recall,1.5,0.1875
228,CodeBERT,RETRO,code(example),Gemini,f1,3.0,0.15625
229,CodeBERT,RETRO,code(example),Gemini,f2,3.0,0.15625
230,CodeBERT,RETRO,code(example),GPT3.5,accuracy,2.0,0.75
231,CodeBERT,RETRO,code(example),GPT3.5,precision,6.0,0.6875
232,CodeBERT,RETRO,code(example),GPT3.5,recall,5.0,0.5625
233,CodeBERT,RETRO,code(example),GPT3.5,f1,5.0,0.5625
234,CodeBERT,RETRO,code(example),GPT3.5,f2,5.0,0.5625
235,CodeBERT,RETRO,code(example),GPT-4o,accuracy,1.0,0.25
236,CodeBERT,RETRO,code(example),GPT-4o,precision,1.0,0.25
237,CodeBERT,RETRO,code(example),GPT-4o,recall,2.5,0.25
238,CodeBERT,RETRO,code(example),GPT-4o,f1,2.0,0.1875
239,CodeBERT,RETRO,code(example),GPT-4o,f2,3.0,0.3125
240,CodeBERT,eTOUR,req,Claude3,accuracy,1.0,0.0625
241,CodeBERT,eTOUR,req,Claude3,precision,1.0,0.0625
242,CodeBERT,eTOUR,req,Claude3,recall,0.0,0.03125
243,CodeBERT,eTOUR,req,Claude3,f1,1.0,0.0625
244,CodeBERT,eTOUR,req,Claude3,f2,0.0,0.03125
245,CodeBERT,eTOUR,req,Gemini,accuracy,0.0,0.03125
246,CodeBERT,eTOUR,req,Gemini,precision,0.0,0.03125
247,CodeBERT,eTOUR,req,Gemini,recall,0.0,0.03125
248,CodeBERT,eTOUR,req,Gemini,f1,0.0,0.03125
249,CodeBERT,eTOUR,req,Gemini,f2,0.0,0.03125
250,CodeBERT,eTOUR,req,GPT3.5,accuracy,0.0,0.03125
251,CodeBERT,eTOUR,req,GPT3.5,precision,0.0,0.03125
252,CodeBERT,eTOUR,req,GPT3.5,recall,0.0,0.0625
253,CodeBERT,eTOUR,req,GPT3.5,f1,0.0,0.03125
254,CodeBERT,eTOUR,req,GPT3.5,f2,0.0,0.03125
255,CodeBERT,eTOUR,req,GPT-4o,accuracy,0.0,0.0625
256,CodeBERT,eTOUR,req,GPT-4o,precision,1.0,0.0625
257,CodeBERT,eTOUR,req,GPT-4o,recall,0.0,0.03125
258,CodeBERT,eTOUR,req,GPT-4o,f1,0.0,0.03125
259,CodeBERT,eTOUR,req,GPT-4o,f2,0.0,0.03125
260,CodeBERT,eTOUR,code,Claude3,accuracy,0.0,0.03125
261,CodeBERT,eTOUR,code,Claude3,precision,0.0,0.03125
262,CodeBERT,eTOUR,code,Claude3,recall,0.0,0.03125
263,CodeBERT,eTOUR,code,Claude3,f1,0.0,0.03125
264,CodeBERT,eTOUR,code,Claude3,f2,0.0,0.03125
265,CodeBERT,eTOUR,code,Gemini,accuracy,1.0,0.0625
266,CodeBERT,eTOUR,code,Gemini,precision,1.0,0.0625
267,CodeBERT,eTOUR,code,Gemini,recall,0.0,0.03125
268,CodeBERT,eTOUR,code,Gemini,f1,0.0,0.03125
269,CodeBERT,eTOUR,code,Gemini,f2,0.0,0.03125
270,CodeBERT,eTOUR,code,GPT3.5,accuracy,0.0,0.03125
271,CodeBERT,eTOUR,code,GPT3.5,precision,1.0,0.0625
272,CodeBERT,eTOUR,code,GPT3.5,recall,0.0,0.03125
273,CodeBERT,eTOUR,code,GPT3.5,f1,0.0,0.03125
274,CodeBERT,eTOUR,code,GPT3.5,f2,0.0,0.03125
275,CodeBERT,eTOUR,code,GPT-4o,accuracy,0.0,0.03125
276,CodeBERT,eTOUR,code,GPT-4o,precision,0.0,0.03125
277,CodeBERT,eTOUR,code,GPT-4o,recall,0.0,0.03125
278,CodeBERT,eTOUR,code,GPT-4o,f1,0.0,0.03125
279,CodeBERT,eTOUR,code,GPT-4o,f2,0.0,0.03125
280,CodeBERT,eTOUR,req(example),Claude3,accuracy,4.0,0.4375
281,CodeBERT,eTOUR,req(example),Claude3,precision,9.0,0.6875
282,CodeBERT,eTOUR,req(example),Claude3,recall,2.0,0.09375
283,CodeBERT,eTOUR,req(example),Claude3,f1,4.0,0.21875
284,CodeBERT,eTOUR,req(example),Claude3,f2,2.0,0.09375
285,CodeBERT,eTOUR,req(example),Gemini,accuracy,3.0,0.15625
286,CodeBERT,eTOUR,req(example),Gemini,precision,4.0,0.21875
287,CodeBERT,eTOUR,req(example),Gemini,recall,1.0,0.0625
288,CodeBERT,eTOUR,req(example),Gemini,f1,1.0,0.0625
289,CodeBERT,eTOUR,req(example),Gemini,f2,1.0,0.0625
290,CodeBERT,eTOUR,req(example),GPT3.5,accuracy,0.0,0.03125
291,CodeBERT,eTOUR,req(example),GPT3.5,precision,0.0,0.03125
292,CodeBERT,eTOUR,req(example),GPT3.5,recall,0.0,0.03125
293,CodeBERT,eTOUR,req(example),GPT3.5,f1,0.0,0.03125
294,CodeBERT,eTOUR,req(example),GPT3.5,f2,0.0,0.03125
295,CodeBERT,eTOUR,req(example),GPT-4o,accuracy,0.0,0.0625
296,CodeBERT,eTOUR,req(example),GPT-4o,precision,1.0,0.0625
297,CodeBERT,eTOUR,req(example),GPT-4o,recall,0.0,0.03125
298,CodeBERT,eTOUR,req(example),GPT-4o,f1,0.0,0.03125
299,CodeBERT,eTOUR,req(example),GPT-4o,f2,0.0,0.03125
300,CodeBERT,eTOUR,code(example),Claude3,accuracy,1.0,0.0625
301,CodeBERT,eTOUR,code(example),Claude3,precision,1.0,0.0625
302,CodeBERT,eTOUR,code(example),Claude3,recall,0.0,0.03125
303,CodeBERT,eTOUR,code(example),Claude3,f1,0.0,0.03125
304,CodeBERT,eTOUR,code(example),Claude3,f2,0.0,0.03125
305,CodeBERT,eTOUR,code(example),Gemini,accuracy,0.0,0.0625
306,CodeBERT,eTOUR,code(example),Gemini,precision,1.0,0.0625
307,CodeBERT,eTOUR,code(example),Gemini,recall,0.0,0.03125
308,CodeBERT,eTOUR,code(example),Gemini,f1,0.0,0.03125
309,CodeBERT,eTOUR,code(example),Gemini,f2,0.0,0.03125
310,CodeBERT,eTOUR,code(example),GPT3.5,accuracy,1.0,0.0625
311,CodeBERT,eTOUR,code(example),GPT3.5,precision,1.0,0.0625
312,CodeBERT,eTOUR,code(example),GPT3.5,recall,1.0,0.0625
313,CodeBERT,eTOUR,code(example),GPT3.5,f1,1.0,0.0625
314,CodeBERT,eTOUR,code(example),GPT3.5,f2,1.0,0.0625
315,CodeBERT,eTOUR,code(example),GPT-4o,accuracy,0.0,0.03125
316,CodeBERT,eTOUR,code(example),GPT-4o,precision,1.0,0.0625
317,CodeBERT,eTOUR,code(example),GPT-4o,recall,0.0,0.03125
318,CodeBERT,eTOUR,code(example),GPT-4o,f1,0.0,0.03125
319,CodeBERT,eTOUR,code(example),GPT-4o,f2,0.0,0.03125
320,Jina,EBT,req,Claude3,accuracy,2.0,0.375
321,Jina,EBT,req,Claude3,precision,2.0,0.375
322,Jina,EBT,req,Claude3,recall,1.0,0.5
323,Jina,EBT,req,Claude3,f1,2.0,0.375
324,Jina,EBT,req,Claude3,f2,2.0,0.375
325,Jina,EBT,req,Gemini,accuracy,0.0,0.0625
326,Jina,EBT,req,Gemini,precision,0.0,0.0625
327,Jina,EBT,req,Gemini,recall,0.0,0.125
328,Jina,EBT,req,Gemini,f1,0.0,0.0625
329,Jina,EBT,req,Gemini,f2,0.0,0.0625
330,Jina,EBT,req,GPT3.5,accuracy,5.0,0.3125
331,Jina,EBT,req,GPT3.5,precision,4.0,0.21875
332,Jina,EBT,req,GPT3.5,recall,1.5,0.375
333,Jina,EBT,req,GPT3.5,f1,4.0,0.21875
334,Jina,EBT,req,GPT3.5,f2,4.0,0.21875
335,Jina,EBT,req,GPT-4o,accuracy,5.0,0.3125
336,Jina,EBT,req,GPT-4o,precision,5.0,0.3125
337,Jina,EBT,req,GPT-4o,recall,5.5,0.40625
338,Jina,EBT,req,GPT-4o,f1,4.0,0.21875
339,Jina,EBT,req,GPT-4o,f2,4.0,0.21875
340,Jina,EBT,code,Claude3,accuracy,8.5,0.625
341,Jina,EBT,code,Claude3,precision,8.0,0.59375
342,Jina,EBT,code,Claude3,recall,8.5,0.9375
343,Jina,EBT,code,Claude3,f1,9.0,0.6875
344,Jina,EBT,code,Claude3,f2,10.0,0.78125
345,Jina,EBT,code,Gemini,accuracy,11.0,0.875
346,Jina,EBT,code,Gemini,precision,12.0,0.90625
347,Jina,EBT,code,Gemini,recall,3.0,0.625
348,Jina,EBT,code,Gemini,f1,8.0,0.59375
349,Jina,EBT,code,Gemini,f2,8.0,0.59375
350,Jina,EBT,code,GPT3.5,accuracy,3.0,0.3125
351,Jina,EBT,code,GPT3.5,precision,6.0,0.40625
352,Jina,EBT,code,GPT3.5,recall,3.0,0.3125
353,Jina,EBT,code,GPT3.5,f1,4.0,0.21875
354,Jina,EBT,code,GPT3.5,f2,4.0,0.21875
355,Jina,EBT,code,GPT-4o,accuracy,6.5,0.75
356,Jina,EBT,code,GPT-4o,precision,6.5,0.75
357,Jina,EBT,code,GPT-4o,recall,8.0,0.9375
358,Jina,EBT,code,GPT-4o,f1,6.5,0.75
359,Jina,EBT,code,GPT-4o,f2,6.5,0.75
360,Jina,EBT,req(example),Claude3,accuracy,6.0,0.4375
361,Jina,EBT,req(example),Claude3,precision,6.0,0.40625
362,Jina,EBT,req(example),Claude3,recall,0.0,0.25
363,Jina,EBT,req(example),Claude3,f1,5.0,0.3125
364,Jina,EBT,req(example),Claude3,f2,5.0,0.3125
365,Jina,EBT,req(example),Gemini,accuracy,6.0,0.6875
366,Jina,EBT,req(example),Gemini,precision,5.5,0.625
367,Jina,EBT,req(example),Gemini,recall,3.0,0.3125
368,Jina,EBT,req(example),Gemini,f1,3.5,0.375
369,Jina,EBT,req(example),Gemini,f2,2.5,0.25
370,Jina,EBT,req(example),GPT3.5,accuracy,0.0,0.03125
371,Jina,EBT,req(example),GPT3.5,precision,0.0,0.03125
372,Jina,EBT,req(example),GPT3.5,recall,2.5,0.15625
373,Jina,EBT,req(example),GPT3.5,f1,0.0,0.03125
374,Jina,EBT,req(example),GPT3.5,f2,1.0,0.0625
375,Jina,EBT,req(example),GPT-4o,accuracy,4.0,0.375
376,Jina,EBT,req(example),GPT-4o,precision,3.0,0.625
377,Jina,EBT,req(example),GPT-4o,recall,1.0,0.5
378,Jina,EBT,req(example),GPT-4o,f1,4.0,0.4375
379,Jina,EBT,req(example),GPT-4o,f2,3.0,0.3125
380,Jina,EBT,code(example),Claude3,accuracy,9.0,0.9375
381,Jina,EBT,code(example),Claude3,precision,9.0,0.6875
382,Jina,EBT,code(example),Claude3,recall,6.0,1.0
383,Jina,EBT,code(example),Claude3,f1,15.0,1.0
384,Jina,EBT,code(example),Claude3,f2,15.0,1.0
385,Jina,EBT,code(example),Gemini,accuracy,1.0,0.5
386,Jina,EBT,code(example),Gemini,precision,3.0,0.625
387,Jina,EBT,code(example),Gemini,recall,0.0,0.25
388,Jina,EBT,code(example),Gemini,f1,1.0,0.25
389,Jina,EBT,code(example),Gemini,f2,0.0,0.125
390,Jina,EBT,code(example),GPT3.5,accuracy,5.0,0.625
391,Jina,EBT,code(example),GPT3.5,precision,6.0,0.6875
392,Jina,EBT,code(example),GPT3.5,recall,0.0,0.25
393,Jina,EBT,code(example),GPT3.5,f1,4.0,0.4375
394,Jina,EBT,code(example),GPT3.5,f2,3.0,0.3125
395,Jina,EBT,code(example),GPT-4o,accuracy,0.0,0.25
396,Jina,EBT,code(example),GPT-4o,precision,0.0,0.125
397,Jina,EBT,code(example),GPT-4o,recall,1.0,1.0
398,Jina,EBT,code(example),GPT-4o,f1,1.0,0.25
399,Jina,EBT,code(example),GPT-4o,f2,3.0,0.625
400,Jina,iTrust,req,Claude3,accuracy,3.0,0.15625
401,Jina,iTrust,req,Claude3,precision,1.0,0.0625
402,Jina,iTrust,req,Claude3,recall,9.0,0.65625
403,Jina,iTrust,req,Claude3,f1,5.0,0.3125
404,Jina,iTrust,req,Claude3,f2,8.0,0.59375
405,Jina,iTrust,req,Gemini,accuracy,0.0,0.03125
