,encoder,data,enhance_type,enhance_llm,metrics,stat,p
120,jina,EBT,code(example),GPT-4o,accuracy,0.0,0.03125
121,jina,EBT,code(example),GPT-4o,precision,0.0,0.03125
122,jina,EBT,code(example),GPT-4o,recall,5.0,0.375
123,jina,EBT,code(example),GPT-4o,f1,0.0,0.0625
124,jina,EBT,code(example),GPT-4o,f2,3.0,0.15625
125,jina,iTrust,none,none,accuracy,0.0,0.03125
126,jina,iTrust,none,none,precision,1.0,0.0625
127,jina,iTrust,none,none,recall,0.0,0.03125
128,jina,iTrust,none,none,f1,0.0,0.03125
129,jina,iTrust,none,none,f2,0.0,0.03125
155,jina,iTrust,req,Claude3,accuracy,3.0,0.625
156,jina,iTrust,req,Claude3,precision,1.0,0.125
157,jina,iTrust,req,Claude3,recall,8.5,0.9375
158,jina,iTrust,req,Claude3,f1,7.0,0.8125
159,jina,iTrust,req,Claude3,f2,8.0,0.875
160,jina,iTrust,req,Gemini,accuracy,3.0,0.15625
161,jina,iTrust,req,Gemini,precision,1.0,0.0625
162,jina,iTrust,req,Gemini,recall,15.0,1.0
163,jina,iTrust,req,Gemini,f1,5.0,0.3125
164,jina,iTrust,req,Gemini,f2,15.0,1.0
165,jina,iTrust,req,GPT3.5,accuracy,1.0,0.0625
166,jina,iTrust,req,GPT3.5,precision,3.0,0.15625
167,jina,iTrust,req,GPT3.5,recall,3.0,0.15625
168,jina,iTrust,req,GPT3.5,f1,1.0,0.0625
169,jina,iTrust,req,GPT3.5,f2,3.0,0.15625
170,jina,iTrust,req,GPT-4o,accuracy,0.0,0.0625
171,jina,iTrust,req,GPT-4o,precision,2.0,0.09375
172,jina,iTrust,req,GPT-4o,recall,2.5,0.125
173,jina,iTrust,req,GPT-4o,f1,0.0,0.03125
174,jina,iTrust,req,GPT-4o,f2,1.0,0.0625
180,jina,iTrust,code,Claude3,accuracy,4.5,0.25
181,jina,iTrust,code,Claude3,precision,10.0,0.78125
182,jina,iTrust,code,Claude3,recall,4.0,0.25
183,jina,iTrust,code,Claude3,f1,4.0,0.21875
184,jina,iTrust,code,Claude3,f2,4.0,0.21875
185,jina,iTrust,code,Gemini,accuracy,15.0,1.0
186,jina,iTrust,code,Gemini,precision,8.0,0.59375
187,jina,iTrust,code,Gemini,recall,14.0,0.96875
188,jina,iTrust,code,Gemini,f1,15.0,1.0
189,jina,iTrust,code,Gemini,f2,14.0,0.96875
190,jina,iTrust,code,GPT3.5,accuracy,6.0,0.4375
191,jina,iTrust,code,GPT3.5,precision,5.0,0.3125
192,jina,iTrust,code,GPT3.5,recall,4.0,0.75
193,jina,iTrust,code,GPT3.5,f1,7.0,0.5
194,jina,iTrust,code,GPT3.5,f2,8.0,0.59375
195,jina,iTrust,code,GPT-4o,accuracy,10.0,0.78125
196,jina,iTrust,code,GPT-4o,precision,11.0,0.84375
197,jina,iTrust,code,GPT-4o,recall,2.0,0.75
198,jina,iTrust,code,GPT-4o,f1,10.0,0.78125
199,jina,iTrust,code,GPT-4o,f2,9.0,0.6875
205,jina,iTrust,req(example),Claude3,accuracy,1.0,0.125
206,jina,iTrust,req(example),Claude3,precision,0.0,0.0625
207,jina,iTrust,req(example),Claude3,recall,3.0,0.3125
208,jina,iTrust,req(example),Claude3,f1,2.0,0.1875
209,jina,iTrust,req(example),Claude3,f2,3.0,0.3125
210,jina,iTrust,req(example),Gemini,accuracy,5.0,0.3125
211,jina,iTrust,req(example),Gemini,precision,5.0,0.3125
212,jina,iTrust,req(example),Gemini,recall,4.0,0.21875
213,jina,iTrust,req(example),Gemini,f1,5.0,0.3125
214,jina,iTrust,req(example),Gemini,f2,4.0,0.21875
215,jina,iTrust,req(example),GPT3.5,accuracy,1.0,0.5
216,jina,iTrust,req(example),GPT3.5,precision,3.0,0.3125
217,jina,iTrust,req(example),GPT3.5,recall,8.0,0.9375
218,jina,iTrust,req(example),GPT3.5,f1,6.0,0.6875
219,jina,iTrust,req(example),GPT3.5,f2,7.0,0.8125
220,jina,iTrust,req(example),GPT-4o,accuracy,3.0,0.625
221,jina,iTrust,req(example),GPT-4o,precision,5.0,0.3125
222,jina,iTrust,req(example),GPT-4o,recall,11.0,0.875
223,jina,iTrust,req(example),GPT-4o,f1,8.0,0.59375
224,jina,iTrust,req(example),GPT-4o,f2,10.0,0.78125
230,jina,iTrust,code(example),Claude3,accuracy,4.5,0.5
231,jina,iTrust,code(example),Claude3,precision,5.0,0.3125
232,jina,iTrust,code(example),Claude3,recall,13.0,0.96875
233,jina,iTrust,code(example),Claude3,f1,9.0,0.6875
234,jina,iTrust,code(example),Claude3,f2,13.0,0.9375
235,jina,iTrust,code(example),Gemini,accuracy,7.0,0.8125
236,jina,iTrust,code(example),Gemini,precision,6.0,0.40625
237,jina,iTrust,code(example),Gemini,recall,8.0,0.875
238,jina,iTrust,code(example),Gemini,f1,12.0,0.90625
239,jina,iTrust,code(example),Gemini,f2,14.0,0.96875
240,jina,iTrust,code(example),GPT3.5,accuracy,3.5,0.75
241,jina,iTrust,code(example),GPT3.5,precision,7.0,0.5
242,jina,iTrust,code(example),GPT3.5,recall,5.0,0.875
243,jina,iTrust,code(example),GPT3.5,f1,10.0,0.78125
244,jina,iTrust,code(example),GPT3.5,f2,12.0,0.90625
245,jina,iTrust,code(example),GPT-4o,accuracy,5.0,0.875
246,jina,iTrust,code(example),GPT-4o,precision,10.0,0.78125
247,jina,iTrust,code(example),GPT-4o,recall,12.5,0.96875
248,jina,iTrust,code(example),GPT-4o,f1,10.0,0.78125
249,jina,iTrust,code(example),GPT-4o,f2,12.0,0.90625
250,jina,RETRO,none,none,accuracy,0.0,0.0625
251,jina,RETRO,none,none,precision,2.0,0.09375
252,jina,RETRO,none,none,recall,0.0,0.03125
253,jina,RETRO,none,none,f1,0.0,0.03125
254,jina,RETRO,none,none,f2,0.0,0.03125
280,jina,RETRO,req,Claude3,accuracy,0.0,0.03125
281,jina,RETRO,req,Claude3,precision,3.5,0.1875
282,jina,RETRO,req,Claude3,recall,0.0,0.03125
283,jina,RETRO,req,Claude3,f1,0.0,0.03125
284,jina,RETRO,req,Claude3,f2,0.0,0.03125
285,jina,RETRO,req,Gemini,accuracy,3.0,0.125
286,jina,RETRO,req,Gemini,precision,3.0,0.15625
287,jina,RETRO,req,Gemini,recall,6.0,0.40625
288,jina,RETRO,req,Gemini,f1,3.0,0.15625
289,jina,RETRO,req,Gemini,f2,5.0,0.3125
290,jina,RETRO,req,GPT3.5,accuracy,1.5,0.1875
291,jina,RETRO,req,GPT3.5,precision,5.5,0.34375
292,jina,RETRO,req,GPT3.5,recall,2.0,0.125
293,jina,RETRO,req,GPT3.5,f1,2.5,0.125
294,jina,RETRO,req,GPT3.5,f2,1.5,0.09375
295,jina,RETRO,req,GPT-4o,accuracy,0.0,0.03125
296,jina,RETRO,req,GPT-4o,precision,0.0,0.03125
297,jina,RETRO,req,GPT-4o,recall,0.0,0.03125
298,jina,RETRO,req,GPT-4o,f1,0.0,0.03125
299,jina,RETRO,req,GPT-4o,f2,0.0,0.03125
305,jina,RETRO,code,Claude3,accuracy,4.5,0.25
306,jina,RETRO,code,Claude3,precision,8.0,0.59375
307,jina,RETRO,code,Claude3,recall,0.0,0.03125
308,jina,RETRO,code,Claude3,f1,3.0,0.15625
309,jina,RETRO,code,Claude3,f2,0.0,0.03125
310,jina,RETRO,code,Gemini,accuracy,3.5,0.75
311,jina,RETRO,code,Gemini,precision,12.0,0.90625
312,jina,RETRO,code,Gemini,recall,4.0,0.21875
313,jina,RETRO,code,Gemini,f1,7.0,0.5
314,jina,RETRO,code,Gemini,f2,5.0,0.3125
315,jina,RETRO,code,GPT3.5,accuracy,1.0,0.25
316,jina,RETRO,code,GPT3.5,precision,5.0,0.5625
317,jina,RETRO,code,GPT3.5,recall,0.0,0.0625
318,jina,RETRO,code,GPT3.5,f1,1.0,0.125
319,jina,RETRO,code,GPT3.5,f2,0.0,0.0625
320,jina,RETRO,code,GPT-4o,accuracy,1.0,0.5
321,jina,RETRO,code,GPT-4o,precision,10.0,0.78125
322,jina,RETRO,code,GPT-4o,recall,4.5,0.28125
323,jina,RETRO,code,GPT-4o,f1,7.0,0.5
324,jina,RETRO,code,GPT-4o,f2,4.0,0.21875
330,jina,RETRO,req(example),Claude3,accuracy,1.0,0.0625
331,jina,RETRO,req(example),Claude3,precision,1.0,0.0625
332,jina,RETRO,req(example),Claude3,recall,2.0,0.09375
333,jina,RETRO,req(example),Claude3,f1,2.0,0.09375
334,jina,RETRO,req(example),Claude3,f2,2.0,0.09375
335,jina,RETRO,req(example),Gemini,accuracy,0.0,0.03125
336,jina,RETRO,req(example),Gemini,precision,0.0,0.03125
337,jina,RETRO,req(example),Gemini,recall,0.0,0.03125
338,jina,RETRO,req(example),Gemini,f1,0.0,0.03125
339,jina,RETRO,req(example),Gemini,f2,0.0,0.03125
340,jina,RETRO,req(example),GPT3.5,accuracy,1.0,0.0625
341,jina,RETRO,req(example),GPT3.5,precision,1.0,0.0625
342,jina,RETRO,req(example),GPT3.5,recall,2.5,0.125
343,jina,RETRO,req(example),GPT3.5,f1,1.0,0.0625
344,jina,RETRO,req(example),GPT3.5,f2,2.0,0.09375
345,jina,RETRO,req(example),GPT-4o,accuracy,0.0,0.03125
346,jina,RETRO,req(example),GPT-4o,precision,0.0,0.03125
347,jina,RETRO,req(example),GPT-4o,recall,1.5,0.09375
348,jina,RETRO,req(example),GPT-4o,f1,0.0,0.03125
349,jina,RETRO,req(example),GPT-4o,f2,1.0,0.0625
355,jina,RETRO,code(example),Claude3,accuracy,1.0,0.0625
356,jina,RETRO,code(example),Claude3,precision,5.0,0.3125
357,jina,RETRO,code(example),Claude3,recall,0.0,0.0625
358,jina,RETRO,code(example),Claude3,f1,1.0,0.0625
359,jina,RETRO,code(example),Claude3,f2,0.0,0.03125
360,jina,RETRO,code(example),Gemini,accuracy,8.5,0.9375
361,jina,RETRO,code(example),Gemini,precision,14.0,0.96875
362,jina,RETRO,code(example),Gemini,recall,5.5,0.625
363,jina,RETRO,code(example),Gemini,f1,11.0,0.84375
364,jina,RETRO,code(example),Gemini,f2,10.0,0.78125
365,jina,RETRO,code(example),GPT3.5,accuracy,4.0,0.21875
366,jina,RETRO,code(example),GPT3.5,precision,6.0,0.40625
367,jina,RETRO,code(example),GPT3.5,recall,0.0,0.03125
368,jina,RETRO,code(example),GPT3.5,f1,3.0,0.15625
369,jina,RETRO,code(example),GPT3.5,f2,0.0,0.03125
370,jina,RETRO,code(example),GPT-4o,accuracy,3.0,0.15625
371,jina,RETRO,code(example),GPT-4o,precision,4.0,0.21875
372,jina,RETRO,code(example),GPT-4o,recall,1.0,0.125
373,jina,RETRO,code(example),GPT-4o,f1,3.0,0.15625
374,jina,RETRO,code(example),GPT-4o,f2,3.0,0.15625
375,jina,eTOUR,none,none,accuracy,0.0,0.0625
376,jina,eTOUR,none,none,precision,1.0,0.0625
377,jina,eTOUR,none,none,recall,0.0,0.03125
378,jina,eTOUR,none,none,f1,0.0,0.03125
379,jina,eTOUR,none,none,f2,0.0,0.03125
405,jina,eTOUR,req,Claude3,accuracy,5.0,0.28125
406,jina,eTOUR,req,Claude3,precision,0.0,0.03125
407,jina,eTOUR,req,Claude3,recall,5.0,0.28125
408,jina,eTOUR,req,Claude3,f1,5.0,0.3125
409,jina,eTOUR,req,Claude3,f2,5.0,0.3125
410,jina,eTOUR,req,Gemini,accuracy,3.0,0.625
411,jina,eTOUR,req,Gemini,precision,8.0,0.59375
412,jina,eTOUR,req,Gemini,recall,5.5,0.625
413,jina,eTOUR,req,Gemini,f1,8.0,0.59375
414,jina,eTOUR,req,Gemini,f2,7.0,0.5
415,jina,eTOUR,req,GPT3.5,accuracy,1.0,0.25
416,jina,eTOUR,req,GPT3.5,precision,5.0,0.3125
417,jina,eTOUR,req,GPT3.5,recall,4.0,0.4375
418,jina,eTOUR,req,GPT3.5,f1,3.0,0.15625
419,jina,eTOUR,req,GPT3.5,f2,5.0,0.3125
420,jina,eTOUR,req,GPT-4o,accuracy,0.0,0.03125
421,jina,eTOUR,req,GPT-4o,precision,1.0,0.0625
422,jina,eTOUR,req,GPT-4o,recall,3.0,0.15625
423,jina,eTOUR,req,GPT-4o,f1,0.0,0.03125
424,jina,eTOUR,req,GPT-4o,f2,3.0,0.15625
430,jina,eTOUR,code,Claude3,accuracy,8.0,0.9375
431,jina,eTOUR,code,Claude3,precision,10.0,0.78125
432,jina,eTOUR,code,Claude3,recall,6.5,0.75
433,jina,eTOUR,code,Claude3,f1,12.0,0.90625
434,jina,eTOUR,code,Claude3,f2,9.0,0.6875
435,jina,eTOUR,code,Gemini,accuracy,1.5,0.09375
436,jina,eTOUR,code,Gemini,precision,1.0,0.0625
437,jina,eTOUR,code,Gemini,recall,5.0,0.5625
438,jina,eTOUR,code,Gemini,f1,3.0,0.15625
439,jina,eTOUR,code,Gemini,f2,6.0,0.40625
440,jina,eTOUR,code,GPT3.5,accuracy,1.0,0.25
441,jina,eTOUR,code,GPT3.5,precision,1.0,0.0625
442,jina,eTOUR,code,GPT3.5,recall,5.0,0.3125
443,jina,eTOUR,code,GPT3.5,f1,5.0,0.3125
444,jina,eTOUR,code,GPT3.5,f2,6.0,0.40625
445,jina,eTOUR,code,GPT-4o,accuracy,0.0,0.0625
446,jina,eTOUR,code,GPT-4o,precision,2.0,0.09375
447,jina,eTOUR,code,GPT-4o,recall,0.0,0.125
448,jina,eTOUR,code,GPT-4o,f1,0.0,0.03125
449,jina,eTOUR,code,GPT-4o,f2,0.0,0.03125
455,jina,eTOUR,req(example),Claude3,accuracy,0.0,0.03125
456,jina,eTOUR,req(example),Claude3,precision,0.0,0.03125
457,jina,eTOUR,req(example),Claude3,recall,0.0,0.0625
458,jina,eTOUR,req(example),Claude3,f1,0.0,0.03125
459,jina,eTOUR,req(example),Claude3,f2,0.0,0.03125
460,jina,eTOUR,req(example),Gemini,accuracy,1.0,0.125
461,jina,eTOUR,req(example),Gemini,precision,0.0,0.03125
462,jina,eTOUR,req(example),Gemini,recall,7.5,0.5625
463,jina,eTOUR,req(example),Gemini,f1,4.0,0.21875
464,jina,eTOUR,req(example),Gemini,f2,6.0,0.40625
465,jina,eTOUR,req(example),GPT3.5,accuracy,5.5,0.34375
466,jina,eTOUR,req(example),GPT3.5,precision,2.0,0.09375
467,jina,eTOUR,req(example),GPT3.5,recall,12.5,0.9375
468,jina,eTOUR,req(example),GPT3.5,f1,9.0,0.6875
469,jina,eTOUR,req(example),GPT3.5,f2,11.0,0.84375
470,jina,eTOUR,req(example),GPT-4o,accuracy,0.0,0.03125
471,jina,eTOUR,req(example),GPT-4o,precision,0.0,0.03125
472,jina,eTOUR,req(example),GPT-4o,recall,0.0,0.125
473,jina,eTOUR,req(example),GPT-4o,f1,0.0,0.03125
474,jina,eTOUR,req(example),GPT-4o,f2,0.0,0.03125
480,jina,eTOUR,code(example),Claude3,accuracy,7.5,0.5625
481,jina,eTOUR,code(example),Claude3,precision,10.0,0.78125
482,jina,eTOUR,code(example),Claude3,recall,3.0,0.3125
483,jina,eTOUR,code(example),Claude3,f1,6.0,0.40625
484,jina,eTOUR,code(example),Claude3,f2,7.0,0.5
485,jina,eTOUR,code(example),Gemini,accuracy,5.5,0.625
486,jina,eTOUR,code(example),Gemini,precision,10.0,0.78125
487,jina,eTOUR,code(example),Gemini,recall,6.0,0.4375
488,jina,eTOUR,code(example),Gemini,f1,8.0,0.59375
489,jina,eTOUR,code(example),Gemini,f2,6.0,0.40625
490,jina,eTOUR,code(example),GPT3.5,accuracy,1.0,0.125
491,jina,eTOUR,code(example),GPT3.5,precision,0.0,0.03125
492,jina,eTOUR,code(example),GPT3.5,recall,3.0,0.3125
493,jina,eTOUR,code(example),GPT3.5,f1,4.0,0.21875
494,jina,eTOUR,code(example),GPT3.5,f2,5.0,0.3125
495,jina,eTOUR,code(example),GPT-4o,accuracy,1.0,0.125
496,jina,eTOUR,code(example),GPT-4o,precision,7.0,0.5
497,jina,eTOUR,code(example),GPT-4o,recall,3.0,0.15625
498,jina,eTOUR,code(example),GPT-4o,f1,3.0,0.15625
499,jina,eTOUR,code(example),GPT-4o,f2,3.0,0.15625
