,encoder,data,enhance_type,enhance_llm,metrics,stat,p
108,jina,EBT,code(example),Claude3,f1,5.5,0.625
109,jina,EBT,code(example),Claude3,f2,3.0,0.3125
110,jina,EBT,code(example),Gemini,accuracy,7.5,0.9375
111,jina,EBT,code(example),Gemini,precision,6.0,0.6875
112,jina,EBT,code(example),Gemini,recall,3.0,0.625
113,jina,EBT,code(example),Gemini,f1,4.0,0.75
114,jina,EBT,code(example),Gemini,f2,4.0,0.4375
115,jina,EBT,code(example),GPT3.5,accuracy,1.0,0.5
116,jina,EBT,code(example),GPT3.5,precision,4.5,0.5
117,jina,EBT,code(example),GPT3.5,recall,1.5,0.75
118,jina,EBT,code(example),GPT3.5,f1,4.5,0.5
119,jina,EBT,code(example),GPT3.5,f2,4.5,0.5
120,jina,EBT,code(example),GPT-4o,accuracy,8.0,0.9375
121,jina,EBT,code(example),GPT-4o,precision,10.0,1.0
122,jina,EBT,code(example),GPT-4o,recall,1.5,0.375
123,jina,EBT,code(example),GPT-4o,f1,7.0,0.8125
124,jina,EBT,code(example),GPT-4o,f2,4.0,0.4375
125,jina,iTrust,none,none,accuracy,13.0,0.9375
126,jina,iTrust,none,none,precision,14.0,0.96875
127,jina,iTrust,none,none,recall,10.5,0.8125
128,jina,iTrust,none,none,f1,13.0,0.9375
129,jina,iTrust,none,none,f2,11.0,0.84375
155,jina,iTrust,req,Claude3,accuracy,3.0,0.625
156,jina,iTrust,req,Claude3,precision,7.0,0.8125
157,jina,iTrust,req,Claude3,recall,1.5,0.375
158,jina,iTrust,req,Claude3,f1,5.0,0.5625
159,jina,iTrust,req,Claude3,f2,4.0,0.4375
160,jina,iTrust,req,Gemini,accuracy,12.0,0.90625
161,jina,iTrust,req,Gemini,precision,14.0,0.96875
162,jina,iTrust,req,Gemini,recall,0.0,0.03125
163,jina,iTrust,req,Gemini,f1,9.0,0.6875
164,jina,iTrust,req,Gemini,f2,0.0,0.0625
165,jina,iTrust,req,GPT3.5,accuracy,7.0,0.8125
166,jina,iTrust,req,GPT3.5,precision,5.0,0.3125
167,jina,iTrust,req,GPT3.5,recall,10.0,1.0
168,jina,iTrust,req,GPT3.5,f1,10.0,0.78125
169,jina,iTrust,req,GPT3.5,f2,14.0,0.96875
170,jina,iTrust,req,GPT-4o,accuracy,1.0,0.25
171,jina,iTrust,req,GPT-4o,precision,4.0,0.4375
172,jina,iTrust,req,GPT-4o,recall,6.0,0.6875
173,jina,iTrust,req,GPT-4o,f1,3.0,0.3125
174,jina,iTrust,req,GPT-4o,f2,6.0,0.6875
180,jina,iTrust,code,Claude3,accuracy,10.0,1.0
181,jina,iTrust,code,Claude3,precision,15.0,1.0
182,jina,iTrust,code,Claude3,recall,4.0,0.875
183,jina,iTrust,code,Claude3,f1,14.0,0.96875
184,jina,iTrust,code,Claude3,f2,12.0,0.90625
185,jina,iTrust,code,Gemini,accuracy,5.5,0.34375
186,jina,iTrust,code,Gemini,precision,10.0,0.78125
187,jina,iTrust,code,Gemini,recall,0.0,0.03125
188,jina,iTrust,code,Gemini,f1,3.0,0.15625
189,jina,iTrust,code,Gemini,f2,0.0,0.03125
190,jina,iTrust,code,GPT3.5,accuracy,12.5,0.9375
191,jina,iTrust,code,GPT3.5,precision,12.0,0.90625
192,jina,iTrust,code,GPT3.5,recall,6.5,0.75
193,jina,iTrust,code,GPT3.5,f1,12.0,0.90625
194,jina,iTrust,code,GPT3.5,f2,10.0,0.78125
195,jina,iTrust,code,GPT-4o,accuracy,3.0,0.3125
196,jina,iTrust,code,GPT-4o,precision,6.0,0.40625
197,jina,iTrust,code,GPT-4o,recall,3.0,0.1875
198,jina,iTrust,code,GPT-4o,f1,4.0,0.21875
199,jina,iTrust,code,GPT-4o,f2,2.0,0.09375
205,jina,iTrust,req(example),Claude3,accuracy,4.5,0.5
206,jina,iTrust,req(example),Claude3,precision,3.0,0.15625
207,jina,iTrust,req(example),Claude3,recall,6.0,0.6875
208,jina,iTrust,req(example),Claude3,f1,8.0,0.59375
209,jina,iTrust,req(example),Claude3,f2,9.0,0.6875
210,jina,iTrust,req(example),Gemini,accuracy,15.0,1.0
211,jina,iTrust,req(example),Gemini,precision,15.0,1.0
212,jina,iTrust,req(example),Gemini,recall,13.5,0.96875
213,jina,iTrust,req(example),Gemini,f1,15.0,1.0
214,jina,iTrust,req(example),Gemini,f2,14.0,0.96875
215,jina,iTrust,req(example),GPT3.5,accuracy,1.5,0.09375
216,jina,iTrust,req(example),GPT3.5,precision,0.0,0.03125
217,jina,iTrust,req(example),GPT3.5,recall,3.0,0.3125
218,jina,iTrust,req(example),GPT3.5,f1,2.0,0.09375
219,jina,iTrust,req(example),GPT3.5,f2,5.0,0.3125
220,jina,iTrust,req(example),GPT-4o,accuracy,8.0,0.5625
221,jina,iTrust,req(example),GPT-4o,precision,10.0,0.78125
222,jina,iTrust,req(example),GPT-4o,recall,6.0,0.40625
223,jina,iTrust,req(example),GPT-4o,f1,8.0,0.59375
224,jina,iTrust,req(example),GPT-4o,f2,6.0,0.40625
230,jina,iTrust,code(example),Claude3,accuracy,3.5,0.375
231,jina,iTrust,code(example),Claude3,precision,5.0,0.3125
232,jina,iTrust,code(example),Claude3,recall,12.0,0.9375
233,jina,iTrust,code(example),Claude3,f1,7.0,0.5
234,jina,iTrust,code(example),Claude3,f2,13.0,0.9375
235,jina,iTrust,code(example),Gemini,accuracy,8.5,0.9375
236,jina,iTrust,code(example),Gemini,precision,9.0,0.9375
237,jina,iTrust,code(example),Gemini,recall,6.0,0.6875
238,jina,iTrust,code(example),Gemini,f1,7.0,0.8125
239,jina,iTrust,code(example),Gemini,f2,6.0,0.6875
240,jina,iTrust,code(example),GPT3.5,accuracy,1.0,0.0625
241,jina,iTrust,code(example),GPT3.5,precision,0.0,0.03125
242,jina,iTrust,code(example),GPT3.5,recall,3.0,0.15625
243,jina,iTrust,code(example),GPT3.5,f1,1.0,0.0625
244,jina,iTrust,code(example),GPT3.5,f2,2.0,0.09375
245,jina,iTrust,code(example),GPT-4o,accuracy,0.0,0.0625
246,jina,iTrust,code(example),GPT-4o,precision,3.0,0.15625
247,jina,iTrust,code(example),GPT-4o,recall,0.0,0.03125
248,jina,iTrust,code(example),GPT-4o,f1,0.0,0.03125
249,jina,iTrust,code(example),GPT-4o,f2,0.0,0.03125
250,jina,RETRO,none,none,accuracy,11.0,0.84375
251,jina,RETRO,none,none,precision,11.0,0.84375
252,jina,RETRO,none,none,recall,6.0,0.6875
253,jina,RETRO,none,none,f1,11.0,0.84375
254,jina,RETRO,none,none,f2,9.0,0.6875
280,jina,RETRO,req,Claude3,accuracy,10.0,1.0
281,jina,RETRO,req,Claude3,precision,10.0,1.0
282,jina,RETRO,req,Claude3,recall,6.0,1.0
283,jina,RETRO,req,Claude3,f1,10.0,1.0
284,jina,RETRO,req,Claude3,f2,10.0,1.0
285,jina,RETRO,req,Gemini,accuracy,3.5,0.375
286,jina,RETRO,req,Gemini,precision,6.0,0.40625
287,jina,RETRO,req,Gemini,recall,4.5,0.28125
288,jina,RETRO,req,Gemini,f1,4.0,0.21875
289,jina,RETRO,req,Gemini,f2,4.0,0.21875
290,jina,RETRO,req,GPT3.5,accuracy,8.5,0.65625
291,jina,RETRO,req,GPT3.5,precision,8.0,0.59375
292,jina,RETRO,req,GPT3.5,recall,3.0,0.625
293,jina,RETRO,req,GPT3.5,f1,8.0,0.59375
294,jina,RETRO,req,GPT3.5,f2,7.0,0.5
295,jina,RETRO,req,GPT-4o,accuracy,2.0,0.25
296,jina,RETRO,req,GPT-4o,precision,5.0,0.5625
297,jina,RETRO,req,GPT-4o,recall,0.0,0.25
298,jina,RETRO,req,GPT-4o,f1,2.0,0.1875
299,jina,RETRO,req,GPT-4o,f2,2.0,0.1875
305,jina,RETRO,code,Claude3,accuracy,8.5,0.625
306,jina,RETRO,code,Claude3,precision,8.0,0.59375
307,jina,RETRO,code,Claude3,recall,7.0,0.8125
308,jina,RETRO,code,Claude3,f1,9.0,0.6875
309,jina,RETRO,code,Claude3,f2,10.0,0.78125
310,jina,RETRO,code,Gemini,accuracy,5.0,0.5625
311,jina,RETRO,code,Gemini,precision,5.0,0.5625
312,jina,RETRO,code,Gemini,recall,5.5,0.625
313,jina,RETRO,code,Gemini,f1,5.0,0.5625
314,jina,RETRO,code,Gemini,f2,5.0,0.5625
315,jina,RETRO,code,GPT3.5,accuracy,7.5,0.875
316,jina,RETRO,code,GPT3.5,precision,7.5,0.875
317,jina,RETRO,code,GPT3.5,recall,3.0,1.0
318,jina,RETRO,code,GPT3.5,f1,7.5,0.875
319,jina,RETRO,code,GPT3.5,f2,8.5,0.9375
320,jina,RETRO,code,GPT-4o,accuracy,4.0,0.4375
321,jina,RETRO,code,GPT-4o,precision,6.0,0.40625
322,jina,RETRO,code,GPT-4o,recall,4.0,0.4375
323,jina,RETRO,code,GPT-4o,f1,5.0,0.3125
324,jina,RETRO,code,GPT-4o,f2,5.0,0.3125
330,jina,RETRO,req(example),Claude3,accuracy,7.0,0.5
331,jina,RETRO,req(example),Claude3,precision,4.0,0.25
332,jina,RETRO,req(example),Claude3,recall,7.5,0.625
333,jina,RETRO,req(example),Claude3,f1,7.0,0.5
334,jina,RETRO,req(example),Claude3,f2,7.0,0.5
335,jina,RETRO,req(example),Gemini,accuracy,8.5,0.9375
336,jina,RETRO,req(example),Gemini,precision,13.0,0.9375
337,jina,RETRO,req(example),Gemini,recall,6.0,0.75
338,jina,RETRO,req(example),Gemini,f1,11.0,0.84375
339,jina,RETRO,req(example),Gemini,f2,9.0,0.6875
340,jina,RETRO,req(example),GPT3.5,accuracy,3.0,1.0
341,jina,RETRO,req(example),GPT3.5,precision,6.0,1.0
342,jina,RETRO,req(example),GPT3.5,recall,3.0,0.625
343,jina,RETRO,req(example),GPT3.5,f1,5.0,0.875
344,jina,RETRO,req(example),GPT3.5,f2,3.0,0.625
345,jina,RETRO,req(example),GPT-4o,accuracy,10.0,0.84375
346,jina,RETRO,req(example),GPT-4o,precision,11.5,0.875
347,jina,RETRO,req(example),GPT-4o,recall,0.0,0.5
348,jina,RETRO,req(example),GPT-4o,f1,7.5,0.5625
349,jina,RETRO,req(example),GPT-4o,f2,8.5,0.625
355,jina,RETRO,code(example),Claude3,accuracy,12.0,0.90625
356,jina,RETRO,code(example),Claude3,precision,12.0,0.90625
357,jina,RETRO,code(example),Claude3,recall,4.5,0.875
358,jina,RETRO,code(example),Claude3,f1,12.0,0.90625
359,jina,RETRO,code(example),Claude3,f2,11.0,0.84375
360,jina,RETRO,code(example),Gemini,accuracy,3.0,0.15625
361,jina,RETRO,code(example),Gemini,precision,3.0,0.15625
362,jina,RETRO,code(example),Gemini,recall,2.0,0.375
363,jina,RETRO,code(example),Gemini,f1,3.0,0.15625
364,jina,RETRO,code(example),Gemini,f2,3.0,0.15625
365,jina,RETRO,code(example),GPT3.5,accuracy,4.5,0.5
366,jina,RETRO,code(example),GPT3.5,precision,3.0,0.15625
367,jina,RETRO,code(example),GPT3.5,recall,11.0,0.84375
368,jina,RETRO,code(example),GPT3.5,f1,8.0,0.59375
369,jina,RETRO,code(example),GPT3.5,f2,10.0,0.78125
370,jina,RETRO,code(example),GPT-4o,accuracy,11.0,0.875
371,jina,RETRO,code(example),GPT-4o,precision,10.0,0.78125
372,jina,RETRO,code(example),GPT-4o,recall,11.0,0.875
373,jina,RETRO,code(example),GPT-4o,f1,10.0,0.78125
374,jina,RETRO,code(example),GPT-4o,f2,10.0,0.78125
375,jina,eTOUR,none,none,accuracy,10.0,0.78125
376,jina,eTOUR,none,none,precision,14.0,0.96875
377,jina,eTOUR,none,none,recall,2.5,0.125
378,jina,eTOUR,none,none,f1,10.0,0.78125
379,jina,eTOUR,none,none,f2,5.0,0.3125
405,jina,eTOUR,req,Claude3,accuracy,5.0,0.375
406,jina,eTOUR,req,Claude3,precision,15.0,1.0
407,jina,eTOUR,req,Claude3,recall,0.0,0.0625
408,jina,eTOUR,req,Claude3,f1,3.0,0.15625
409,jina,eTOUR,req,Claude3,f2,1.0,0.0625
410,jina,eTOUR,req,Gemini,accuracy,6.0,0.75
411,jina,eTOUR,req,Gemini,precision,15.0,1.0
412,jina,eTOUR,req,Gemini,recall,1.5,0.1875
413,jina,eTOUR,req,Gemini,f1,9.0,0.6875
414,jina,eTOUR,req,Gemini,f2,5.0,0.3125
415,jina,eTOUR,req,GPT3.5,accuracy,0.0,0.0625
416,jina,eTOUR,req,GPT3.5,precision,13.0,0.9375
417,jina,eTOUR,req,GPT3.5,recall,1.0,0.0625
418,jina,eTOUR,req,GPT3.5,f1,1.0,0.0625
419,jina,eTOUR,req,GPT3.5,f2,1.0,0.0625
420,jina,eTOUR,req,GPT-4o,accuracy,10.5,0.8125
421,jina,eTOUR,req,GPT-4o,precision,14.0,0.96875
422,jina,eTOUR,req,GPT-4o,recall,3.5,0.375
423,jina,eTOUR,req,GPT-4o,f1,10.0,0.78125
424,jina,eTOUR,req,GPT-4o,f2,6.0,0.40625
430,jina,eTOUR,code,Claude3,accuracy,6.0,0.375
431,jina,eTOUR,code,Claude3,precision,9.0,0.6875
432,jina,eTOUR,code,Claude3,recall,5.0,0.34375
433,jina,eTOUR,code,Claude3,f1,6.0,0.40625
434,jina,eTOUR,code,Claude3,f2,5.0,0.3125
435,jina,eTOUR,code,Gemini,accuracy,1.5,0.1875
436,jina,eTOUR,code,Gemini,precision,11.5,0.875
437,jina,eTOUR,code,Gemini,recall,0.0,0.125
438,jina,eTOUR,code,Gemini,f1,1.5,0.09375
439,jina,eTOUR,code,Gemini,f2,1.5,0.09375
440,jina,eTOUR,code,GPT3.5,accuracy,3.0,0.625
441,jina,eTOUR,code,GPT3.5,precision,13.0,0.9375
442,jina,eTOUR,code,GPT3.5,recall,1.0,0.125
443,jina,eTOUR,code,GPT3.5,f1,4.0,0.21875
444,jina,eTOUR,code,GPT3.5,f2,2.0,0.09375
445,jina,eTOUR,code,GPT-4o,accuracy,5.0,0.875
446,jina,eTOUR,code,GPT-4o,precision,14.0,0.96875
447,jina,eTOUR,code,GPT-4o,recall,3.0,0.15625
448,jina,eTOUR,code,GPT-4o,f1,9.0,0.6875
449,jina,eTOUR,code,GPT-4o,f2,5.0,0.3125
455,jina,eTOUR,req(example),Claude3,accuracy,1.5,0.09375
456,jina,eTOUR,req(example),Claude3,precision,2.0,0.09375
457,jina,eTOUR,req(example),Claude3,recall,4.0,0.25
458,jina,eTOUR,req(example),Claude3,f1,2.0,0.09375
459,jina,eTOUR,req(example),Claude3,f2,2.0,0.09375
460,jina,eTOUR,req(example),Gemini,accuracy,3.0,0.15625
461,jina,eTOUR,req(example),Gemini,precision,12.0,0.90625
462,jina,eTOUR,req(example),Gemini,recall,0.0,0.03125
463,jina,eTOUR,req(example),Gemini,f1,3.0,0.15625
464,jina,eTOUR,req(example),Gemini,f2,0.0,0.03125
465,jina,eTOUR,req(example),GPT3.5,accuracy,4.0,0.21875
466,jina,eTOUR,req(example),GPT3.5,precision,12.0,0.90625
467,jina,eTOUR,req(example),GPT3.5,recall,2.0,0.09375
468,jina,eTOUR,req(example),GPT3.5,f1,2.0,0.09375
469,jina,eTOUR,req(example),GPT3.5,f2,2.0,0.09375
470,jina,eTOUR,req(example),GPT-4o,accuracy,4.0,0.4375
471,jina,eTOUR,req(example),GPT-4o,precision,10.0,0.78125
472,jina,eTOUR,req(example),GPT-4o,recall,2.5,0.25
473,jina,eTOUR,req(example),GPT-4o,f1,5.0,0.3125
474,jina,eTOUR,req(example),GPT-4o,f2,4.0,0.21875
480,jina,eTOUR,code(example),Claude3,accuracy,6.5,0.75
481,jina,eTOUR,code(example),Claude3,precision,12.0,0.90625
482,jina,eTOUR,code(example),Claude3,recall,5.0,0.3125
483,jina,eTOUR,code(example),Claude3,f1,9.0,0.6875
484,jina,eTOUR,code(example),Claude3,f2,5.0,0.3125
485,jina,eTOUR,code(example),Gemini,accuracy,4.0,0.21875
486,jina,eTOUR,code(example),Gemini,precision,10.0,0.78125
487,jina,eTOUR,code(example),Gemini,recall,0.0,0.0625
488,jina,eTOUR,code(example),Gemini,f1,3.0,0.15625
489,jina,eTOUR,code(example),Gemini,f2,0.0,0.03125
490,jina,eTOUR,code(example),GPT3.5,accuracy,10.0,0.75
491,jina,eTOUR,code(example),GPT3.5,precision,15.0,1.0
492,jina,eTOUR,code(example),GPT3.5,recall,0.0,0.0625
493,jina,eTOUR,code(example),GPT3.5,f1,8.0,0.59375
494,jina,eTOUR,code(example),GPT3.5,f2,2.0,0.09375
495,jina,eTOUR,code(example),GPT-4o,accuracy,3.5,0.1875
496,jina,eTOUR,code(example),GPT-4o,precision,5.0,0.3125
497,jina,eTOUR,code(example),GPT-4o,recall,2.0,0.1875
498,jina,eTOUR,code(example),GPT-4o,f1,2.0,0.09375
499,jina,eTOUR,code(example),GPT-4o,f2,2.0,0.09375
